STATIONNAME,STATIONARRONDISSEMENT,LATITUDE,LONGITUDE,STATION_ID
Dorion / Ontario,Ville-Marie,45.526991277453526,-73.55821162462234,0
Duluth  / St-Denis,Le Plateau-Mont-Royal,45.52062760607925,-73.57594907283782,1
de Maisonneuve / Greene,Westmount,45.48697062,-73.58929306,2
Roy / Saint-Laurent,Le Plateau-Mont-Royal,45.51565182195085,-73.57577390039296,3
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509886,-73.57424452900887,4
Villeray / De Normanville,Villeray—Saint-Michel—Parc-Extension,45.54716675630067,-73.6184438467353,5
Parc Pratt (Dunlop / Van Horne),Outremont,45.51491895406187,-73.61968517303467,6
Fullum / Marie-Anne,Le Plateau-Mont-Royal,45.53650541861215,-73.56803923845291,7
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.532449016819825,-73.5847695171833,8
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.52719536319051,-73.5645255446434,9
Marquette / des Carrières,Rosemont - La Petite-Patrie,45.53859456744162,-73.58865737915039,10
Métro Place-d'Armes (St-Urbain / Viger),Ville-Marie,45.5063863763071,-73.55969488620758,11
St-Antoine / de la Montagne,Ville-Marie,45.495369835210354,-73.56859177350998,12
Pierre-de-Coubertin / Aird,Mercier - Hochelaga-Maisonneuve,45.55903106539297,-73.54830354452133,13
Regina / de Verdun,Verdun,45.46734390596128,-73.57078850269318,14
Ste-Catherine / St-Clément,Mercier - Hochelaga-Maisonneuve,45.55671730558936,-73.53024959564209,15
Beaubien / 8e avenue,Rosemont - La Petite-Patrie,45.55331997202561,-73.58763143420218,16
des Érables / Laurier,Le Plateau-Mont-Royal,45.538514913607656,-73.57769921422005,17
Métro de l'Église (Ross / de l'Église),Verdun,45.4628312022419,-73.56593772768973,18
LaSalle / Godin,Verdun,45.44693448484644,-73.57219934463501,19
Fabre / Jean-Talon,Rosemont - La Petite-Patrie,45.546634811657086,-73.60776543617249,20
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.47651075689498,-73.60647261142731,21
Atwater / Sherbrooke,Ville-Marie,45.4912258547597,-73.58763009309769,22
IUSMM (Georges-Villeneuve),Mercier - Hochelaga-Maisonneuve,45.58661042838809,-73.52969169616699,23
BIXI K5,Rosemont - La Petite-Patrie,45.530297633587914,-73.60139787197113,24
Métro Crémazie (Crémazie / Lajeunesse),Ahuntsic-Cartierville,45.54640752148169,-73.63842844963074,25
St-Patrick / Thomas-Keefer,Le Sud-Ouest,45.47801152713375,-73.57427294832632,26
Campus MIL (Thérèse-Lavoie Roux / Outremont),Outremont,45.52305513467406,-73.61817508935928,27
Smith / Peel,Le Sud-Ouest,45.49276061084002,-73.55641052126883,28
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507833,-73.58010649681091,29
Ontario / Ville-Marie,Mercier - Hochelaga-Maisonneuve,45.56001959585449,-73.534934520776,30
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,31
McGill / Place d'Youville,Ville-Marie,45.500014581102505,-73.55625258141116,32
Ste-Catherine / Union,Ville-Marie,45.50370387789841,-73.56941521167755,33
de Maisonneuve / Aylmer (ouest),Ville-Marie,45.505173440423306,-73.5706517100334,34
Place Valois (Valois / Ontario),Mercier - Hochelaga-Maisonneuve,45.54701750084233,-73.543126247896,35
Ottawa / William,Le Sud-Ouest,45.48972725318433,-73.56406286358833,36
Rachel / de Brébeuf,Le Plateau-Mont-Royal,45.526911494644025,-73.5727014299664,37
de Maisonneuve / de Bleury,Ville-Marie,45.50710068509571,-73.56907725334167,38
Métro Villa-Maria (de Monkland / Décarie),Côte-des-Neiges - Notre-Dame-de-Grâce,45.4790046017838,-73.61956179141998,39
Omer-Lavallée / du Midway,Rosemont - La Petite-Patrie,45.5457759528664,-73.56217458844185,40
du Mont-Royal / St-André,Le Plateau-Mont-Royal,45.52648048733308,-73.5805805772543,41
Peel / Notre-Dame,Ville-Marie,45.49544692088696,-73.56329441070557,42
Clark / de l'Arcade,Le Plateau-Mont-Royal,45.527371996141,-73.60398352146149,43
Ste-Catherine / Bishop,Ville-Marie,45.49658063218649,-73.5762146115303,44
Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,45.51814312154928,-73.56800436973572,45
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),Le Plateau-Mont-Royal,45.51487490356938,-73.58486406505108,46
William / Robert-Bourassa,Le Sud-Ouest,45.49716534003792,-73.55933010578154,47
Place du Canada (Peel / des Canadiens-de-Montréal),Ville-Marie,45.497795545133336,-73.56825113296509,48
de la Commune / St-Sulpice,Ville-Marie,45.50424245563397,-73.553469479084,49
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50398168549117,-73.62283945083618,50
Messier / St-Joseph,Le Plateau-Mont-Royal,45.53946063965585,-73.57605636119843,51
Métro Parc  (Hutchison / Ogilvy),Villeray—Saint-Michel—Parc-Extension,45.53035130173597,-73.6243924498558,52
Parc Molson (d'Iberville / Beaubien),Rosemont - La Petite-Patrie,45.54902230455398,-73.59198164194822,53
Lajeunesse / Villeray,Villeray—Saint-Michel—Parc-Extension,45.54218173507584,-73.62268656492233,54
Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.52428310031213,-73.6049484461546,55
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.52778299244644,-73.57167445577942,56
Jeanne-Mance / René-Lévesque,Ville-Marie,45.5063713381299,-73.5642009973526,57
Marché St-Jacques (Atateken),Ville-Marie,45.52066599241888,-73.5639146839003,58
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Rosemont - La Petite-Patrie,45.539306918976,-73.59521873295307,59
Notre-Dame / St-Martin,Le Sud-Ouest,45.48830194643546,-73.56871783733366,60
Métro Lionel-Groulx (St-Jacques / Atwater),Le Sud-Ouest,45.48295816149219,-73.57975836854166,61
Georges-Vanier /  Notre-Dame,Le Sud-Ouest,45.48504525051504,-73.57192163679429,62
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),Rosemont - La Petite-Patrie,45.551574858642525,-73.58225226402283,63
Collège de Rosemont (Beaubien / 15e avenue),Rosemont - La Petite-Patrie,45.55774990838239,-73.58380123972893,64
Chabanel / du Parc,Ahuntsic-Cartierville,45.53830765459552,-73.6548838019371,65
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,45.58917500418707,-73.53965610265732,66
15e avenue / Laurier,Rosemont - La Petite-Patrie,45.55331992800521,-73.56932803988457,67
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52424701428399,-73.58166217803955,68
Lanaudière / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.545350334193245,-73.61032962799072,69
St-Jacques / Vinet,Le Sud-Ouest,45.485328993998365,-73.57692271471024,70
Émile-Duployé / Rachel,Le Plateau-Mont-Royal,45.52970707609694,-73.56998120721983,71
René-Lévesque / Papineau,Ville-Marie,45.52097057660443,-73.5499919950962,72
